"","T1_L1","T1_L2","T1_L3","T2_N","T2_R1","T2_R3","T3_L4","T3_R2","T3_R4","SYMBOL"
"ENSMUSG00000000167",5.2675598152579,9.88886954999154,3.42507955505373,2.22317220640889,6.47199112247505,1.06707510979455,7.10763077733383,5.48091265182957,10.9510170970902,"Pih1d2"
"ENSMUSG00000000168",1224.18090106594,1434.78507288968,1205.62800337891,974.8610125103,1181.1383798517,1375.45981652517,1152.32463977525,1441.48002743118,1375.44774739453,"Dlat"
"ENSMUSG00000000171",1963.74629912814,2140.49076350271,2056.76027280976,1935.27140567894,1880.113421079,2198.17472617677,2193.59254865465,2045.2939045744,3211.93331457655,"Sdhd"
"ENSMUSG00000000182",0,0,0,0,0,0,0,0.913485441971594,1.09510170970902,"Fgf23"
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,"Fgf6"
"ENSMUSG00000000184",688.996823835733,846.846828735639,649.908845571445,708.080347741232,1231.83564364442,959.300523705298,338.500915770524,1296.23584215769,485.130057401095,"Ccnd2"
"ENSMUSG00000000194",582.592115567523,594.231161140401,616.514319909671,619.153459484877,677.401737485722,483.38502473693,748.078139314386,483.233798802973,442.421090722443,"Gpr107"
"ENSMUSG00000000197",0,0,0,0,0,0,0,0,0,"Nalcn"
"ENSMUSG00000000202",1.05351196305158,0,0,0,3.23599556123753,1.06707510979455,0,0,0,"Btbd17"
"ENSMUSG00000000204",17565.204959959,15791.6256831956,24479.043579969,28061.9911753963,31854.0616396351,12490.1141601452,31126.9805354863,10586.3827870088,13901.2211030463,"Slfn4"
"ENSMUSG00000000214",0,0,0,0,0,0,5.33072308300037,0,0,"Th"
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,"Ins2"
"ENSMUSG00000000216",0,0,0,0,0,0,0,0,0,"Scnn1g"
"ENSMUSG00000000223",14.7491674827221,18.8787509590748,17.1253977752686,16.6737915480667,19.4159733674252,27.7439528546582,22.2113461791682,25.5775923752046,18.6167290650533,"Drp2"
"ENSMUSG00000000244",1743.56229885036,1771.00663758939,1650.03207564713,1876.35734220911,1865.01210845989,2271.80290875259,2813.73333397703,2098.27606020875,2313.94991261515,"Tspan32"
"ENSMUSG00000000247",0,0,0,0,1.07866518707918,0,0,0,0,"Lhx2"
"ENSMUSG00000000248",7.37458374136105,5.39392884544993,2.5688096662903,5.55793051602223,3.23599556123753,1.06707510979455,0,4.56742720985797,17.5216273553443,"Clec2g"
"ENSMUSG00000000253",17.9097033718768,22.474703522708,19.6942074415589,18.8969637544756,26.9666296769794,17.0732017567128,13.3268077075009,16.4427379554887,220.115443651513,"Gmpr"
"ENSMUSG00000000263",1.05351196305158,0,0,0,1.07866518707918,0,0.888453847166729,0,0,"Glra1"
"ENSMUSG00000000266",0,0,0,1.11158610320445,1.07866518707918,0,0,4.56742720985797,1.09510170970902,"Mid2"
